donor_code,donor_name,agency_code,crs_agency_name,loc_agency_acronym,loc_agency_name,total_usd_disbursement,,
1012,Adaptation Fund,1,NULL,NULL,NULL,13.214325,,
913,African Development Bank [AfDB],1,AfDB Ordinary Capital,NULL,NULL,3169.203409,,
913,African Development Bank [AfDB],11,NULL,NULL,NULL,11.0089739,,
913,African Development Bank [AfDB],12,NULL,NULL,NULL,0,,
913,African Development Bank [AfDB],14,NULL,NULL,NULL,0.383814,,
913,African Development Bank [AfDB],15,NULL,NULL,NULL,1.08706111,,
913,African Development Bank [AfDB],16,NULL,NULL,NULL,0.68590174,,
914,African Development Fund [AfDF],1,AfDF,NULL,NULL,1842.907007,,
914,African Development Fund [AfDF],2,NTF,NULL,NULL,4.96108,,
914,African Development Fund [AfDF],13,NULL,NULL,NULL,162.3703053,,
953,Arab Bank for Economic Development in Africa [BADEA],1,BADEA,NULL,NULL,125.9871221,,
921,Arab Fund [AFESD],1,AFESD,NULL,NULL,884.8934924,,
916,AsDB Special Funds,1,AsDF,NULL,NULL,2663.220698,,
916,AsDB Special Funds,2,APDRF,NULL,NULL,0.2,,
916,AsDB Special Funds,3,CCF,NULL,NULL,11.53769143,,
916,AsDB Special Funds,11,NULL,NULL,NULL,119.7467889,,
916,AsDB Special Funds,12,RCIFPF,NULL,NULL,2.85818639,,
916,AsDB Special Funds,13,FSDPSF,NULL,NULL,0.017214816,,
915,Asian Development Bank [AsDB],1,AsDB,NULL,NULL,7600.471115,,
801,Australia,2,AG,AG,Attorney-General,3.87036492,,
801,Australia,5,Aus Gov,Aus Gov,Australian government,3287.25748,,
801,Australia,99,MISC,MISC,Miscellaneous,375.0069533,,
1,Austria,1,BMF,BMF,Federal Ministry of Finance,293.3205085,,
1,Austria,2,MIN,MIN,Various ministries,0.759516087,,
1,Austria,5,BMeiA,BMeiA,Federal Ministry for European and International Affairs,23.25734885,,
1,Austria,6,Reg,Reg,"Provincial governments, local communities",54.14853495,,
1,Austria,7,BKA,BKA,Federal Chancellery,0.19822246,,
1,Austria,8,ADA,ADA,Austrian Development Agency,116.6889341,,
1,Austria,10,BMLFUW,BMLFUW,Ministry for Agriculture and Environment,11.7821985,,
1,Austria,11,BMLVS,BMLV,Ministry of Defense,7.53454664,,
1,Austria,12,INT,BMI,Ministry of Interior,67.8712252,,
1,Austria,13,OeEB,OeEB,Austrian Development Bank,25.23133984,,
