publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE
NA,1012,Adaptation Fund,1,NULL,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],1,AfDB Ordinary Capital,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],11,NULL,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],12,NULL,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],14,NULL,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],15,NULL,NULL,NULL
African Development Bank,913,African Development Bank [AfDB],16,NULL,NULL,NULL
African Development Bank,914,African Development Fund [AfDF],1,AfDF,NULL,NULL
African Development Bank,914,African Development Fund [AfDF],2,NTF,NULL,NULL
African Development Bank,914,African Development Fund [AfDF],13,NULL,NULL,NULL
NA,953,Arab Bank for Economic Development in Africa [BADEA],1,BADEA,NULL,NULL
NA,921,Arab Fund [AFESD],1,AFESD,NULL,NULL
NA,916,AsDB Special Funds,1,AsDF,NULL,NULL
NA,916,AsDB Special Funds,2,APDRF,NULL,NULL
NA,916,AsDB Special Funds,3,CCF,NULL,NULL
NA,916,AsDB Special Funds,11,NULL,NULL,NULL
NA,916,AsDB Special Funds,12,RCIFPF,NULL,NULL
NA,916,AsDB Special Funds,13,FSDPSF,NULL,NULL
NA,915,Asian Development Bank [AsDB],1,AsDB,NULL,NULL
NA,801,Australia,2,AG,AG,Attorney-General
Australia - Department of Foreign Affairs and Trade,801,Australia,5,Aus Gov,Aus Gov,Australian government
NA,801,Australia,99,MISC,MISC,Miscellaneous
NA,1,Austria,1,BMF,BMF,Federal Ministry of Finance
NA,1,Austria,2,MIN,MIN,Various ministries
NA,1,Austria,5,BMeiA,BMeiA,Federal Ministry for European and International Affairs
NA,1,Austria,6,Reg,Reg,"Provincial governments, local communities"
NA,1,Austria,7,BKA,BKA,Federal Chancellery
NA,1,Austria,8,ADA,ADA,Austrian Development Agency
NA,1,Austria,10,BMLFUW,BMLFUW,Ministry for Agriculture and Environment
NA,1,Austria,11,BMLVS,BMLV,Ministry of Defense
NA,1,Austria,12,INT,BMI,Ministry of Interior
NA,1,Austria,13,OeEB,OeEB,Austrian Development Bank
NA,1,Austria,15,BMWFW,BMWF,Ministry for Science and Research
NA,1,Austria,16,BMBF,NULL,NULL
NA,1,Austria,99,MISC,MISC,Miscellaneous
Belgian Development Cooperation,2,Belgium,10,DGCD,DGCD,Directorate General for Co-operation and Development
NA,2,Belgium,20,SPAE,SPAE,Official Federal Service of Foreign Affaires (excl. DGCD)
NA,2,Belgium,22,BIO,NULL,NULL
NA,2,Belgium,30,SPFF,SPFF,Official Federal Service of Finance
NA,2,Belgium,31,OND,OND,Ducroire National Office
NA,2,Belgium,39,ASPF,ASPF,Other Official Federal Services
NA,2,Belgium,60,LOC,LOC,provinces/municipalities
