publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,1012,Adaptation Fund,1,NULL,NULL,NULL,13.214325,NA,non-iati
African Development Bank,913,African Development Bank [AfDB],1,AfDB Ordinary Capital,NULL,NULL,3169.203409,NA,checked
African Development Bank,913,African Development Bank [AfDB],11,NULL,NULL,NULL,11.0089739,NA,checked
African Development Bank,913,African Development Bank [AfDB],12,NULL,NULL,NULL,0,NA,checked
African Development Bank,913,African Development Bank [AfDB],14,NULL,NULL,NULL,0.383814,NA,checked
African Development Bank,913,African Development Bank [AfDB],15,NULL,NULL,NULL,1.08706111,NA,checked
African Development Bank,913,African Development Bank [AfDB],16,NULL,NULL,NULL,0.68590174,NA,checked
African Development Bank,914,African Development Fund [AfDF],1,AfDF,NULL,NULL,1842.907007,NA,checked
African Development Bank,914,African Development Fund [AfDF],2,NTF,NULL,NULL,4.96108,NA,checked
African Development Bank,914,African Development Fund [AfDF],13,NULL,NULL,NULL,162.3703053,NA,checked
NA,953,Arab Bank for Economic Development in Africa [BADEA],1,BADEA,NULL,NULL,125.9871221,NA,non-iati
NA,921,Arab Fund [AFESD],1,AFESD,NULL,NULL,884.8934924,NA,non-iati
NA,916,AsDB Special Funds,1,AsDF,NULL,NULL,2663.220698,NA,non-iati
NA,916,AsDB Special Funds,2,APDRF,NULL,NULL,0.2,NA,non-iati
NA,916,AsDB Special Funds,3,CCF,NULL,NULL,11.53769143,NA,non-iati
NA,916,AsDB Special Funds,11,NULL,NULL,NULL,119.7467889,NA,non-iati
NA,916,AsDB Special Funds,12,RCIFPF,NULL,NULL,2.85818639,NA,non-iati
NA,916,AsDB Special Funds,13,FSDPSF,NULL,NULL,0.017214816,NA,non-iati
NA,915,Asian Development Bank [AsDB],1,AsDB,NULL,NULL,7600.471115,NA,non-iati
NA,801,Australia,2,AG,AG,Attorney-General,3.87036492,NA,non-iati
Australia - Department of Foreign Affairs and Trade,801,Australia,5,Aus Gov,Aus Gov,Australian government,3287.25748,846.557983,multilateral_added
NA,801,Australia,99,MISC,MISC,Miscellaneous,375.0069533,99.56727274,non-iati
NA,1,Austria,1,BMF,BMF,Federal Ministry of Finance,293.3205085,557.0324846,non-iati
NA,1,Austria,2,MIN,MIN,Various ministries,0.759516087,4.708761638,non-iati
NA,1,Austria,5,BMeiA,BMeiA,Federal Ministry for European and International Affairs,23.25734885,NA,non-iati
NA,1,Austria,6,Reg,Reg,"Provincial governments, local communities",54.14853495,NA,non-iati
NA,1,Austria,7,BKA,BKA,Federal Chancellery,0.19822246,0.143718884,non-iati
NA,1,Austria,8,ADA,ADA,Austrian Development Agency,116.6889341,NA,non-iati
NA,1,Austria,10,BMLFUW,BMLFUW,Ministry for Agriculture and Environment,11.7821985,NA,non-iati
NA,1,Austria,11,BMLVS,BMLV,Ministry of Defense,7.53454664,NA,non-iati
NA,1,Austria,12,INT,BMI,Ministry of Interior,67.8712252,0.86884598,non-iati
NA,1,Austria,13,OeEB,OeEB,Austrian Development Bank,25.23133984,NA,non-iati
NA,1,Austria,15,BMWFW,BMWF,Ministry for Science and Research,106.3524385,NA,non-iati
NA,1,Austria,16,BMBF,NULL,NULL,25.7090048,NA,non-iati
NA,1,Austria,99,MISC,MISC,Miscellaneous,7.74004167,NA,non-iati
Belgian Development Cooperation,2,Belgium,10,DGCD,DGCD,Directorate General for Co-operation and Development,872.0695728,720.6343091,checked
NA,2,Belgium,20,SPAE,SPAE,Official Federal Service of Foreign Affaires (excl. DGCD),125.1568846,17.24676437,non-iati
NA,2,Belgium,22,BIO,NULL,NULL,168.6626378,NA,non-iati
NA,2,Belgium,30,SPFF,SPFF,Official Federal Service of Finance,3.3205552,375.7343211,non-iati
NA,2,Belgium,31,OND,OND,Ducroire National Office,7.6423,NA,non-iati
NA,2,Belgium,39,ASPF,ASPF,Other Official Federal Services,245.1168126,0.430615028,non-iati
NA,2,Belgium,60,LOC,LOC,provinces/municipalities,14.21731204,NA,non-iati
NA,2,Belgium,70,MPRF,MPRF,Flanders Official Regional Ministries,72.66898625,3.216300224,non-iati
NA,2,Belgium,80,MPRW,MPRW,Walloon Official Regional Ministries,27.6660309,4.926739639,non-iati
NA,2,Belgium,94,MPRG,MPRG,German speaking Official Regional Ministries,0.2077614,NA,non-iati
Bill & Melinda Gates Foundation,1601,Bill & Melinda Gates Foundation,1,BMGF,Bill & Melinda Gates Foundation,NULL,2667.860798,NA,checked
Canada - International Development Research Center / Centre de recherches pour le d’©veloppement international,301,Canada,2,IDRC,IDRC,International Development Research Centre,193.4038145,NA,checked
Canada - Global Affairs Canada / Affaires mondiales Canada,301,Canada,3,DFATD,DFATD,"Department of Foreign Affairs, Trade and Development",2495.862096,517.5801815,multilateral_added
Canada Department of Finance,301,Canada,4,FIN,FIN,Department of Finance Canada,190.09723,469.8968177,checked
NA,301,Canada,8,RCMP,RCMP,Royal Canadian Mounted Police of Canada,23.5692595,NA,non-iati
NA,301,Canada,9,GOV,GOV,Provincial Governments and municipalities,142.6101859,5.926987316,non-iati
NA,301,Canada,31,EDC,EDC,Export Development Canada,3670.19614,NA,non-iati
NA,301,Canada,99,MISC,MISC,Miscellaneous,278.0876881,19.91634173,non-iati
Climate Investment Funds,1011,Climate Investment Funds [CIF],10,CTF,NULL,NULL,374.9701641,NA,checked
Climate Investment Funds,1011,Climate Investment Funds [CIF],20,SCF,NULL,NULL,31.49965382,NA,checked
NA,1011,Climate Investment Funds [CIF],21,SCF - FIP,NULL,NULL,NULL,NA,non-iati
NA,1011,Climate Investment Funds [CIF],22,SCF - PPCR,NULL,NULL,NULL,NA,non-iati
NA,1011,Climate Investment Funds [CIF],23,SCF - SREP,NULL,NULL,NULL,NA,non-iati
NA,1013,Council of Europe Development Bank [CEB],1,NULL,NULL,NULL,362.5608386,NA,non-iati
NA,68,Czech Republic,1,CZDA,CZDA,Czech Development Agency,20.94932529,NA,non-iati
NA,68,Czech Republic,2,MFA,MFA,Ministry of Foreign Affairs,18.51959589,9.606319808,non-iati
NA,68,Czech Republic,3,FIN,MOF,Ministry of Finance,0.12524368,139.6597971,non-iati
NA,68,Czech Republic,4,M’Ç_MT,MEYS,"Miinistry of Education, Youth, Sports",4.5921139,NA,non-iati
NA,68,Czech Republic,5,INT,MOI,Ministry of the Interior,13.28794597,NA,non-iati
NA,68,Czech Republic,7,DEF,MD,Ministry of Defence,2.918802,NA,non-iati
NA,68,Czech Republic,8,MoH,MH,Ministry of Health,0.0511442,NA,non-iati
NA,68,Czech Republic,9,MIT,MIT,Ministry of Industry and Trade,0.2717149,0.0121,non-iati
NA,68,Czech Republic,10,CNB,CNB,Czech National Bank,0.0346035,NA,non-iati
NA,68,Czech Republic,11,JUSTICE,MJ,Ministry of Justice,0.310081,NA,non-iati
NA,68,Czech Republic,13,NULL,Universities,Universities,0.619410734,NA,non-iati
NA,68,Czech Republic,14,GOV,Regional Governments and Municipalities,Regional Governments and Municipalities,0.36516351,NA,non-iati
NA,68,Czech Republic,15,ENV,MOE,Ministry of Environment,0.4016935,5.390454786,non-iati
NA,68,Czech Republic,16,S’‘_JB,SUJB,State Office for Nuclear Saftey,0.1204364,NA,non-iati
NA,68,Czech Republic,19,AGRI,NULL,NULL,0.00688437,NA,non-iati
Denmark - Danida - Danish Ministry of Foreigh Affairs,3,Denmark,1,MFA,MFA,Ministry of Foreign Affairs,1968.023263,864.7253751,checked
NA,3,Denmark,3,IFU,NULL,NULL,95.33163276,NA,non-iati
NA,3,Denmark,4,NULL,NULL,NULL,259.513869,NA,non-iati
NA,3,Denmark,99,MISC,MISC,Miscellaneous,NULL,NA,non-iati
NA,82,Estonia,1,MFA,NULL,NULL,13.76011894,NA,non-iati
NA,82,Estonia,2,NULL,NULL,NULL,1.21003028,NA,non-iati
NA,82,Estonia,3,NULL,NULL,NULL,0.03184293,NA,non-iati
NA,918,EU Institutions,1,CEC,CEC,Commission of the European Communities,9329.166219,41.51827812,non-iati
NA,918,EU Institutions,2,EDF,EDF,European Development Fund,4199.336182,19.72279918,non-iati
European Investment Bank,918,EU Institutions,3,EIB,EIB,European Investment Bank,5793.387266,NA,checked
NA,990,European Bank for Reconstruction and Development [EBRD],1,EBRD,NULL,NULL,4823.35963,NA,non-iati
NA,18,Finland,1,FG,FG,Finnish Government,17.98839285,145.1828558,non-iati
NA,18,Finland,2,FF,FF,FinnFund,106.9407536,NA,non-iati
Finland - Ministry of Foreign Affairs,18,Finland,3,MFA,MFA,Ministry of Foreign Affairs,863.605643,543.2939257,checked
Agence Française de D_veloppement,4,France,3,AFD,AFD,French Development Agency,5007.763471,353.1815648,checked
France - Ministry of Foreign Affairs and International Development,4,France,8,COOP DECENTRAL,COOP DECENTRALISEE,COOP DECENTRALISED,955.8127879,1415.658626,checked
NA,4,France,10,MINEFI,MINEFI,"Ministry of Economy, Finance and Industry",547.1983634,943.4054557,non-iati
NA,4,France,12,INT,Int’‘Î©rieur,Ministry of Interior,529.3000912,NA,non-iati
NA,4,France,13,AGRI,AGRI,Ministry of Agriculture,11.95002413,NA,non-iati
NA,4,France,14,DEF,DEF,Ministry of Defense,35.0759015,NA,non-iati
NA,4,France,15,InterMin,INTER,Inter-ministerial,14.37972518,NA,non-iati
NA,4,France,17,MEN,MESR,Ministry of Higher education and Research,1431.087679,NA,non-iati
NA,4,France,22,Proparco,NULL,NULL,977.62443,NA,non-iati
