"","donornameE","usd_extended_defl"
"1","Australia",946.125255742
"2","Austria",588.787995317
"3","Belgium",1122.189049426
"4","Canada",1013.320328317
"5","Czech Republic",154.691641703
"6","Denmark",872.178243814
"7","Estonia",22.16033815
"8","EU Institutions",61.241077299
"9","Finland",688.476781522
"10","France",4201.383198966
"11","Germany",4882.32757656
"12","Greece",205.861090138
"13","Hungary",116.10184628
"14","Iceland",6.056433022
"15","Ireland",291.957821458
"16","Italy",2628.581550461
"17","Japan",3472.771055764
"18","Kazakhstan",6.249730843
"19","Korea",440.896407768
"20","Kuwait [KFAED]",47.636150607
"21","Lithuania",38.899629082
"22","Luxembourg",122.120334827
"23","Netherlands",1531.930095081
"24","New Zealand",94.397372346
"25","Norway",1272.412870004
"26","Poland",365.859362134
"27","Portugal",182.296656587
"28","Romania",143.112664719
"29","Slovak Republic",66.588063327
"30","Slovenia",41.270079317
"31","Spain",1412.414768619
"32","Sweden",1964.892382039
"33","Switzerland",732.489789835
"34","United Arab Emirates",129.692540377
"35","United Kingdom",7533.6299887
"36","United States",5503.108386696
