"","donornameE","agencynameE","usd_extended_defl"
"1","Australia","Australian Government",846.557982999
"2","Australia","Miscellaneous",99.567272743
"3","Austria","Fed. Ministry for Agriculture, Forestry, Environment and Water Management",4.463112408
"4","Austria","Federal Chancellery",0.143718884
"5","Austria","Federal Ministry for Europe, Integration and Foreign Affairs",21.286664783
"6","Austria","Federal Ministry of Finance",557.032484562
"7","Austria","Ministry for Science, Research and Economy",0.284407062
"8","Austria","Ministry of Interior",0.86884598
"9","Austria","Various ministries",4.708761638
"10","Belgium","Directorate General for Co-operation and Development",720.63430906
"11","Belgium","Flanders Official Regional Ministries",3.216300224
"12","Belgium","Official Federal Service of Finance",375.734321101
"13","Belgium","Official Federal Service of Foreign Affaires (excl. DGCD)",17.246764374
"14","Belgium","Other Official Federal Services",0.430615028
"15","Belgium","Walloon Official Regional Ministries",4.926739639
"16","Canada","Department of Finance Canada",469.89681774
"17","Canada","Department of Foreign Affairs, Trade and Development ",517.580181533
"18","Canada","Miscellaneous",19.916341728
"19","Canada","Provincial Governments and municipalities",5.926987316
"20","Czech Republic","Ministry of Environment",5.390454786
"21","Czech Republic","Ministry of Finance",139.659797109
"22","Czech Republic","Ministry of Foreign Affairs",9.606319808
"23","Czech Republic","Ministry of Industry and Trade",0.0121
"24","Czech Republic","Ministry of Regional Development",0.02297
"25","Denmark","Ministry of Foreign Affairs",864.725375109
"26","Denmark","Other ministries",7.452868705
"27","Estonia","Estonian Ministry of Foreign Affairs",1.671886097
"28","Estonia","Other Ministries",20.488452053
"29","EU Institutions","Commission of the European Communities",41.518278119
"30","EU Institutions","European Development Fund",19.72279918
"31","Finland","Finnish Government",145.182855776
"32","Finland","Ministry of Foreign Affairs",543.293925746
"33","France","COOP DECENTRAL/MAE",1415.658625495
"34","France","French Development Agency",353.181564815
"35","France","GOUV",1489.137553
"36","France","Ministry of Economy, Finance and Industry",943.405455656
"37","Germany","Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung",4542.299374316
"38","Germany","Federal Ministry for Economic Affairs and Energy",19.871086779
"39","Germany","Federal Ministry for the Env., Nature Conservation and Nuclear Safety",80.008426803
"40","Germany","Federal Ministry of Finance",2.650910098
"41","Germany","Federal Ministry of Food and Agriculture",18.08478839
"42","Germany","Federal Ministry of Health",25.479755877
"43","Germany","Federal Ministry of Justice and Consumer Protection",0.0364
"44","Germany","Federal Ministry of Labour and Social Affairs",17.48903872
"45","Germany","Federal Ministry of the Interior",3.508144275
"46","Germany","Federal Ministry of Transport and Digital Infrastructure",0.214271868
"47","Germany","Foreign Office",172.685379434
"48","Greece","Ministry of Agricultural Development & Food",2.160119626
"49","Greece","Ministry of Citizen Protection",0.0244
"50","Greece","Ministry of Culture & Tourism",0.016217348
